t_s,e_ee_pos_mm,tau_q_max_Nm
5.210000,3.801522,0.489809
5.220000,3.820933,0.491872
5.230000,3.840176,0.493910
5.240000,3.859248,0.495924
5.250000,3.878145,0.497914
5.260000,3.896861,0.499883
5.270000,3.915394,0.501831
5.280000,3.933739,0.503758
5.290000,3.951892,0.505667
5.300000,3.969850,0.507121
5.310000,3.987605,0.509056
5.320000,4.005152,0.510962
5.330000,4.022489,0.512838
5.340000,4.039611,0.514688
5.350000,4.056516,0.516511
5.360000,4.073201,0.518310
5.370000,4.089663,0.520086
5.380000,4.105898,0.521838
5.390000,4.121904,0.523569
5.400000,4.137678,0.524745
5.410000,4.153214,0.526511
5.420000,4.168505,0.528241
5.430000,4.183552,0.529938
5.440000,4.198350,0.531603
5.450000,4.212899,0.533238
5.460000,4.227197,0.534844
5.470000,4.241241,0.536423
5.480000,4.255029,0.537975
5.490000,4.268559,0.539502
5.500000,4.281830,0.540467
5.510000,4.294836,0.542022
5.520000,4.307573,0.543538
5.530000,4.320040,0.545017
5.540000,4.332236,0.546460
5.550000,4.344160,0.547869
5.560000,4.355811,0.549247
5.570000,4.367187,0.550593
5.580000,4.378289,0.551910
5.590000,4.389114,0.553197
5.600000,4.399662,0.553913
5.610000,4.409928,0.555221
5.620000,4.419910,0.556487
5.630000,4.429607,0.557711
5.640000,4.439019,0.558895
5.650000,4.448147,0.560041
5.660000,4.456989,0.561151
5.670000,4.465547,0.562226
5.680000,4.473820,0.563266
5.690000,4.481808,0.564273
5.700000,4.489510,0.564697
5.710000,4.496925,0.565716
5.720000,4.504049,0.566688
5.730000,4.510883,0.567612
5.740000,4.517429,0.568492
5.750000,4.523687,0.569329
5.760000,4.529658,0.570125
5.770000,4.535343,0.570880
5.780000,4.540744,0.571597
5.790000,4.545860,0.572274
5.800000,4.550693,0.572362
5.810000,4.555241,0.573041
5.820000,4.559503,0.573667
5.830000,4.563479,0.574242
5.840000,4.567173,0.574766
5.850000,4.570585,0.575242
5.860000,4.573719,0.575671
5.870000,4.576575,0.576055
5.880000,4.579156,0.576394
5.890000,4.581464,0.576689
5.900000,4.583500,0.576396
5.910000,4.585263,0.576680
5.920000,4.586753,0.576905
5.930000,4.587972,0.577073
5.940000,4.588924,0.577185
5.950000,4.589611,0.577243
5.960000,4.590036,0.577250
5.970000,4.590202,0.577204
5.980000,4.590111,0.577109
5.990000,4.589767,0.576963
6.000000,4.589172,0.576229
6.010000,4.588325,0.576059
6.020000,4.587228,0.575825
6.030000,4.585884,0.575528
6.040000,4.584296,0.575170
6.050000,4.582469,0.574753
6.060000,4.580406,0.574277
6.070000,4.578110,0.573744
6.080000,4.575586,0.573155
6.090000,4.572837,0.572510
6.100000,4.569866,0.571276
6.110000,4.566673,0.570595
6.120000,4.563261,0.569843
6.130000,4.559634,0.569023
6.140000,4.555796,0.568136
6.150000,4.551752,0.567183
6.160000,4.547505,0.566168
6.170000,4.543061,0.565089
6.180000,4.538424,0.564620
6.190000,4.533597,0.565046
6.200000,4.528586,0.565507
6.210000,4.523391,0.565856
6.220000,4.518014,0.566168
6.230000,4.512461,0.566443
6.240000,4.506736,0.566680
6.250000,4.500845,0.566880
6.260000,4.494793,0.567045
6.270000,4.488584,0.567173
6.280000,4.482223,0.567265
6.290000,4.475715,0.567320
6.300000,4.469064,0.567377
6.310000,4.462273,0.567357
6.320000,4.455344,0.567299
6.330000,4.448282,0.567203
6.340000,4.441093,0.567070
6.350000,4.433782,0.566900
6.360000,4.426354,0.566694
6.370000,4.418815,0.566451
6.380000,4.411169,0.566172
6.390000,4.403422,0.565856
6.400000,4.395578,0.565601
6.410000,4.387639,0.565208
6.420000,4.379609,0.564777
6.430000,4.371492,0.564309
6.440000,4.363295,0.563804
6.450000,4.355022,0.563261
6.460000,4.346679,0.562682
6.470000,4.338270,0.562066
6.480000,4.329801,0.561413
6.490000,4.321276,0.560723
6.500000,4.312700,0.560062
6.510000,4.304076,0.559295
6.520000,4.295406,0.558489
6.530000,4.286694,0.557646
6.540000,4.277948,0.556765
6.550000,4.269170,0.555847
6.560000,4.260366,0.554891
6.570000,4.251541,0.553898
6.580000,4.242699,0.552867
6.590000,4.233844,0.551799
6.600000,4.224981,0.550708
6.610000,4.216111,0.549563
6.620000,4.207237,0.548378
6.630000,4.198363,0.547155
6.640000,4.189494,0.545893
6.650000,4.180633,0.544593
6.660000,4.171786,0.543255
6.670000,4.162955,0.541879
6.680000,4.154145,0.540464
6.690000,4.145358,0.539011
6.700000,4.136599,0.537480
6.710000,4.127868,0.535949
6.720000,4.119167,0.534378
6.730000,4.110500,0.532767
6.740000,4.101871,0.531116
6.750000,4.093281,0.529426
6.760000,4.084735,0.527697
6.770000,4.076235,0.525929
6.780000,4.067784,0.524121
6.790000,4.059385,0.522274
6.800000,4.051038,0.520290
6.810000,4.042746,0.518364
6.820000,4.034509,0.516396
6.830000,4.026330,0.514386
6.840000,4.018210,0.512336
6.850000,4.010151,0.510245
