t_s,e_ee_pos_mm,tau_q_max_Nm
4.480000,111.397818,1.458366
4.490000,111.810286,1.475947
4.500000,112.221836,1.264184
4.510000,112.633543,1.278987
4.520000,113.046227,1.292418
4.530000,113.459381,1.304908
4.540000,113.872608,1.316791
4.550000,114.285603,1.328345
4.560000,114.698130,1.339807
4.570000,115.110010,1.351379
4.580000,115.521102,1.363232
4.590000,115.931297,1.375507
4.600000,116.340509,1.204298
4.610000,116.749873,1.211451
4.620000,117.160281,1.217692
4.630000,117.571217,1.223383
4.640000,117.982272,1.228793
4.650000,118.393121,1.234141
4.660000,118.803506,1.239615
4.670000,119.213224,1.245382
4.680000,119.622107,1.251583
4.690000,120.030023,1.258340
4.700000,120.436857,1.130689
4.710000,120.843808,1.129888
4.720000,121.251836,1.128667
4.730000,121.660417,1.127310
4.740000,122.069127,1.126017
4.750000,122.477621,1.124947
4.760000,122.885617,1.124240
4.770000,123.292884,1.124024
4.780000,123.699229,1.124411
4.790000,124.104489,1.125504
4.800000,124.508526,1.043668
4.810000,124.912595,1.034719
4.820000,125.317727,1.025862
4.830000,125.723390,1.017302
4.840000,126.129144,1.009167
4.850000,126.534621,1.001559
4.860000,126.939516,0.994567
4.870000,127.343569,0.988281
4.880000,127.746559,0.982786
4.890000,128.148295,0.978161
4.900000,128.548609,0.940534
4.910000,128.948814,0.923335
4.920000,129.350007,0.906735
4.930000,129.751644,0.890844
4.940000,130.153267,0.875695
4.950000,130.554487,0.861306
4.960000,130.954973,0.847708
4.970000,131.354441,0.834966
4.980000,131.752643,0.823178
4.990000,132.149365,0.812463
5.000000,132.544414,0.820461
5.010000,132.939165,0.794871
5.020000,133.334782,0.770470
5.030000,133.730704,0.747210
5.040000,134.126450,0.725034
5.050000,134.521603,0.703910
5.060000,134.915805,0.683851
5.070000,135.308738,0.664915
5.080000,135.700125,0.647194
5.090000,136.089719,0.664860
5.100000,136.477296,0.690429
5.110000,136.864290,0.656868
5.120000,137.251930,0.625060
5.130000,137.639637,0.594837
5.140000,138.026905,0.566058
5.150000,138.413295,0.538631
5.160000,138.798416,0.512526
5.170000,139.181925,0.487766
5.180000,139.563515,0.512110
5.190000,139.942912,0.550042
5.200000,140.319864,0.552601
5.210000,140.695866,0.511264
5.220000,141.072213,0.472176
5.230000,141.448314,0.435101
5.240000,141.823650,0.399860
5.250000,142.197758,0.366329
5.260000,142.570230,0.334442
5.270000,142.940696,0.360943
5.280000,143.308824,0.396877
5.290000,143.674314,0.433796
5.300000,144.036893,0.407924
5.310000,144.398108,0.359373
5.320000,144.759318,0.313498
5.330000,145.119919,0.294137
5.340000,145.479377,0.299961
5.350000,145.837215,0.305533
5.360000,146.193003,0.310853
5.370000,146.546351,0.315925
5.380000,146.896903,0.368073
5.390000,147.244335,0.436411
5.400000,147.588348,0.275937
5.410000,147.930539,0.266985
5.420000,148.272316,0.274028
5.430000,148.613064,0.280872
5.440000,148.952236,0.287504
5.450000,149.289341,0.293917
5.460000,149.623931,0.342669
5.470000,149.955598,0.416972
5.480000,150.283970,0.490259
5.490000,150.608703,0.562730
5.500000,150.929484,0.245110
5.510000,151.247958,0.253016
5.520000,151.565590,0.260739
5.530000,151.881761,0.274738
5.540000,152.195919,0.340862
5.550000,152.507562,0.404409
5.560000,152.816235,0.465494
5.570000,153.121517,0.541670
5.580000,153.423026,0.619275
5.590000,153.720412,0.696262
5.600000,154.013360,0.280098
5.610000,154.303574,0.280063
5.620000,154.592587,0.357048
5.630000,154.879781,0.431029
5.640000,155.164596,0.502231
5.650000,155.446517,0.570786
5.660000,155.725070,0.636778
5.670000,155.999819,0.700266
5.680000,156.270365,0.761296
5.690000,156.536342,0.835100
5.700000,156.797417,0.385552
5.710000,157.055337,0.430567
5.720000,157.311676,0.512426
5.730000,157.565796,0.591148
5.740000,157.817114,0.666928
5.750000,158.065093,0.739885
5.760000,158.309239,0.810099
5.770000,158.549099,0.877629
5.780000,158.784258,0.942524
5.790000,159.014336,1.004831
5.800000,159.238988,0.493314
5.810000,159.459987,0.582494
5.820000,159.678935,0.668089
5.830000,159.895194,0.750428
5.840000,160.108179,0.829706
5.850000,160.317355,0.906046
5.860000,160.522230,0.979532
5.870000,160.722354,1.050225
5.880000,160.917313,1.118173
5.890000,161.106731,1.183421
5.900000,161.290262,0.651138
5.910000,161.469701,0.744062
5.920000,161.646670,0.833323
5.930000,161.820522,0.919230
5.940000,161.990672,1.001969
5.950000,162.156583,1.081658
5.960000,162.317761,1.158376
5.970000,162.473756,1.232179
5.980000,162.624151,1.303110
5.990000,162.768568,1.371205
6.000000,162.906657,0.809334
6.010000,163.040232,0.905411
6.020000,163.170934,0.997735
6.030000,163.298116,1.086615
6.040000,163.421193,1.172230
6.050000,163.539629,1.254684
6.060000,163.652936,1.334046
6.070000,163.760661,1.410370
6.080000,163.862393,1.483702
6.090000,163.957753,1.554087
6.100000,164.046394,0.960977
6.110000,164.130147,1.059361
6.120000,164.210669,1.153885
6.130000,164.287320,1.244865
6.140000,164.359521,1.332482
6.150000,164.426742,1.416843
6.160000,164.488501,1.498018
6.170000,164.544354,1.576061
6.180000,164.593895,1.651020
6.190000,164.636752,1.722941
6.200000,164.672585,1.104012
6.210000,164.703235,1.203822
6.220000,164.730368,1.299658
6.230000,164.753352,1.391843
6.240000,164.771616,1.480565
6.250000,164.784640,1.565938
6.260000,164.791951,1.648037
6.270000,164.793114,1.726920
6.280000,164.787734,1.802638
6.290000,164.775449,1.875242
6.300000,164.755930,1.236311
6.310000,164.731015,1.336544
6.320000,164.702371,1.432699
6.330000,164.669378,1.525114
6.340000,164.631477,1.613986
6.350000,164.588161,1.699434
6.360000,164.538970,1.781543
6.370000,164.483485,1.860376
6.380000,164.421322,1.935989
6.390000,164.352136,2.008436
6.400000,164.275610,1.373980
6.410000,164.193567,1.474645
6.420000,164.107657,1.571177
6.430000,164.017263,1.663914
6.440000,163.921833,1.753058
6.450000,163.820865,1.838736
6.460000,163.713909,1.921032
6.470000,163.600551,2.000015
6.480000,163.480419,2.075740
6.490000,163.353174,2.148263
6.500000,163.218510,1.504351
6.510000,163.078231,1.600162
6.520000,162.933971,1.696315
6.530000,162.785125,1.788606
6.540000,162.631154,1.877247
6.550000,162.471573,1.962370
6.560000,162.305943,2.044068
6.570000,162.133866,2.122413
6.580000,161.954984,2.197468
6.590000,161.768973,2.269291
6.600000,161.575538,1.628995
6.610000,161.376464,1.712252
6.620000,161.173362,1.802707
6.630000,160.965649,1.893515
6.640000,160.752806,1.980632
6.650000,160.534366,2.064203
6.660000,160.309911,2.144331
6.670000,160.079063,2.221095
6.680000,159.841482,2.294565
6.690000,159.596863,2.364804
