t_s,Ltot_x_Nms,Ltot_y_Nms,Ltot_z_Nms,Ltot_norm_Nms
123.010,1.247184e-03,5.567342e-04,-5.518562e-04,1.473080e-03
123.510,1.247184e-03,5.567342e-04,-5.518562e-04,1.473080e-03
124.010,1.247184e-03,5.567342e-04,-5.518562e-04,1.473080e-03
124.510,1.247184e-03,5.567342e-04,-5.518562e-04,1.473080e-03
125.010,1.247184e-03,5.567342e-04,-5.518562e-04,1.473080e-03
125.510,1.247184e-03,5.567342e-04,-5.518562e-04,1.473080e-03
126.010,1.247184e-03,5.567342e-04,-5.518562e-04,1.473080e-03
126.510,1.247184e-03,5.567342e-04,-5.518562e-04,1.473080e-03
127.010,1.247184e-03,5.567342e-04,-5.518562e-04,1.473080e-03
127.510,1.247184e-03,5.567342e-04,-5.518562e-04,1.473080e-03
128.010,1.247184e-03,5.567342e-04,-5.518562e-04,1.473080e-03
128.510,1.247184e-03,5.567342e-04,-5.518562e-04,1.473080e-03
129.010,1.247184e-03,5.567342e-04,-5.518562e-04,1.473080e-03
129.510,1.247184e-03,5.567342e-04,-5.518562e-04,1.473080e-03
130.010,1.247184e-03,5.567342e-04,-5.518562e-04,1.473080e-03
130.510,1.247184e-03,5.567342e-04,-5.518562e-04,1.473080e-03
131.010,1.247184e-03,5.567342e-04,-5.518562e-04,1.473080e-03
131.510,1.247184e-03,5.567342e-04,-5.518562e-04,1.473080e-03
132.010,1.247184e-03,5.567342e-04,-5.518562e-04,1.473080e-03
132.510,1.247184e-03,5.567342e-04,-5.518562e-04,1.473080e-03
133.010,1.247184e-03,5.567342e-04,-5.518562e-04,1.473080e-03
133.510,1.247184e-03,5.567342e-04,-5.518562e-04,1.473080e-03
134.010,1.247184e-03,5.567342e-04,-5.518562e-04,1.473080e-03
134.510,1.247184e-03,5.567342e-04,-5.518562e-04,1.473080e-03
135.010,1.247184e-03,5.567342e-04,-5.518562e-04,1.473080e-03
135.510,1.247184e-03,5.567342e-04,-5.518562e-04,1.473080e-03
136.010,1.247184e-03,5.567342e-04,-5.518562e-04,1.473080e-03
136.510,1.247184e-03,5.567342e-04,-5.518562e-04,1.473080e-03
137.010,1.247184e-03,5.567342e-04,-5.518562e-04,1.473080e-03
137.510,1.247184e-03,5.567342e-04,-5.518562e-04,1.473080e-03
138.010,1.247184e-03,5.567342e-04,-5.518562e-04,1.473080e-03
138.510,1.247184e-03,5.567342e-04,-5.518562e-04,1.473080e-03
139.010,1.247184e-03,5.567342e-04,-5.518562e-04,1.473080e-03
139.510,1.247184e-03,5.567342e-04,-5.518562e-04,1.473080e-03
140.010,1.247184e-03,5.567342e-04,-5.518562e-04,1.473080e-03
140.510,1.247184e-03,5.567342e-04,-5.518562e-04,1.473080e-03
141.010,1.247184e-03,5.567342e-04,-5.518562e-04,1.473080e-03
141.510,1.247184e-03,5.567342e-04,-5.518562e-04,1.473080e-03
142.010,1.247184e-03,5.567342e-04,-5.518562e-04,1.473080e-03
142.510,1.247184e-03,5.567342e-04,-5.518562e-04,1.473080e-03
143.010,1.247184e-03,5.567342e-04,-5.518562e-04,1.473080e-03
143.510,1.247184e-03,5.567342e-04,-5.518562e-04,1.473080e-03
144.010,1.247184e-03,5.567342e-04,-5.518562e-04,1.473080e-03
144.510,1.247184e-03,5.567342e-04,-5.518562e-04,1.473080e-03
145.010,1.247184e-03,5.567342e-04,-5.518562e-04,1.473080e-03
145.510,1.247184e-03,5.567342e-04,-5.518562e-04,1.473080e-03
146.010,1.247184e-03,5.567342e-04,-5.518562e-04,1.473080e-03
146.510,1.247184e-03,5.567342e-04,-5.518562e-04,1.473080e-03
147.010,1.247184e-03,5.567342e-04,-5.518562e-04,1.473080e-03
147.510,1.247184e-03,5.567342e-04,-5.518562e-04,1.473080e-03
148.010,1.247184e-03,5.567342e-04,-5.518562e-04,1.473080e-03
148.510,1.247184e-03,5.567342e-04,-5.518562e-04,1.473080e-03
149.010,1.247184e-03,5.567342e-04,-5.518562e-04,1.473080e-03
149.510,1.247184e-03,5.567342e-04,-5.518562e-04,1.473080e-03
150.010,1.247184e-03,5.567342e-04,-5.518562e-04,1.473080e-03
150.510,1.247184e-03,5.567342e-04,-5.518562e-04,1.473080e-03
151.010,1.247184e-03,5.567342e-04,-5.518562e-04,1.473080e-03
151.510,1.247184e-03,5.567342e-04,-5.518562e-04,1.473080e-03
152.010,1.247184e-03,5.567342e-04,-5.518562e-04,1.473080e-03
152.510,1.247184e-03,5.567342e-04,-5.518562e-04,1.473080e-03
153.010,1.247184e-03,5.567342e-04,-5.518562e-04,1.473080e-03
153.510,1.247184e-03,5.567342e-04,-5.518562e-04,1.473080e-03
154.010,1.247184e-03,5.567342e-04,-5.518562e-04,1.473080e-03
154.510,1.247184e-03,5.567342e-04,-5.518562e-04,1.473080e-03
155.010,1.247184e-03,5.567342e-04,-5.518562e-04,1.473080e-03
155.510,1.247184e-03,5.567342e-04,-5.518562e-04,1.473080e-03
156.010,1.247184e-03,5.567342e-04,-5.518562e-04,1.473080e-03
156.510,1.247184e-03,5.567342e-04,-5.518562e-04,1.473080e-03
