t_s,e_ee_pos_mm,e_ee_ori_deg,tau_q_max_Nm,tau_q_max_ang_Nm
3.870000,2.567541,5.806497,0.267521,0.005815
3.880000,2.553035,5.850751,0.267224,0.006071
3.890000,2.538410,5.895190,0.266899,0.006327
3.900000,2.523672,5.939812,0.266544,0.006585
3.910000,2.508827,5.984614,0.266159,0.006842
3.920000,2.493882,6.029593,0.265746,0.007101
3.930000,2.478843,6.074747,0.265304,0.007360
3.940000,2.463717,6.120073,0.264834,0.007620
3.950000,2.448512,6.165568,0.264335,0.007880
3.960000,2.433235,6.211231,0.263808,0.008141
3.970000,2.417894,6.257058,0.263253,0.008403
3.980000,2.402496,6.303047,0.262670,0.008665
3.990000,2.387048,6.349195,0.262059,0.008928
4.000000,2.371561,6.395500,0.261421,0.009191
4.010000,2.356041,6.441958,0.260756,0.009455
4.020000,2.340497,6.488569,0.260064,0.009719
4.030000,2.324939,6.535328,0.259345,0.009983
4.040000,2.309376,6.582233,0.258600,0.010249
4.050000,2.293816,6.629282,0.257829,0.010514
4.060000,2.278270,6.676472,0.257031,0.010780
4.070000,2.262747,6.723801,0.256208,0.011047
4.080000,2.247258,6.771266,0.255359,0.011314
4.090000,2.231813,6.818864,0.254485,0.011581
4.100000,2.216422,6.866593,0.253586,0.011849
4.110000,2.201096,6.914451,0.255618,0.012117
4.120000,2.185847,6.962435,0.257789,0.012385
4.130000,2.170685,7.010542,0.259939,0.012654
4.140000,2.155623,7.058770,0.262068,0.012923
4.150000,2.140673,7.107116,0.264176,0.013192
4.160000,2.125845,7.155578,0.266264,0.013462
4.170000,2.111153,7.204154,0.268330,0.013731
4.180000,2.096610,7.252841,0.270376,0.014002
4.190000,2.082228,7.301636,0.272402,0.014272
4.200000,2.068020,7.350537,0.274407,0.014542
4.210000,2.053999,7.399542,0.276392,0.014813
4.220000,2.040179,7.448649,0.278356,0.015084
4.230000,2.026574,7.497854,0.280301,0.015355
4.240000,2.013197,7.547155,0.282226,0.015626
4.250000,2.000063,7.596551,0.284130,0.015898
4.260000,1.987185,7.646038,0.286015,0.016169
4.270000,1.974578,7.695615,0.287880,0.016441
4.280000,1.962257,7.745279,0.289726,0.016713
4.290000,1.950235,7.795027,0.291552,0.016984
4.300000,1.938527,7.844858,0.293359,0.017256
4.310000,1.927148,7.894768,0.295146,0.017528
4.320000,1.916112,7.944757,0.296915,0.017800
4.330000,1.905435,7.994820,0.298664,0.018072
4.340000,1.895130,8.044957,0.300394,0.018343
4.350000,1.885211,8.095165,0.302106,0.018615
4.360000,1.875694,8.145441,0.303798,0.018887
4.370000,1.866592,8.195784,0.305472,0.019158
4.380000,1.857920,8.246190,0.307127,0.019430
4.390000,1.849690,8.296659,0.308763,0.019701
4.400000,1.841916,8.347187,0.310382,0.019972
4.410000,1.834611,8.397773,0.311981,0.020243
4.420000,1.827789,8.448414,0.313563,0.020514
4.430000,1.821460,8.499108,0.315126,0.020785
4.440000,1.815637,8.549853,0.316671,0.021056
4.450000,1.810330,8.600646,0.318198,0.021326
4.460000,1.805552,8.651486,0.319707,0.021596
4.470000,1.801311,8.702370,0.321198,0.021866
4.480000,1.797617,8.753297,0.322671,0.022135
4.490000,1.794478,8.804264,0.324127,0.022404
4.500000,1.791904,8.855268,0.325564,0.022673
4.510000,1.789900,8.906308,0.326984,0.022941
4.520000,1.788473,8.957382,0.328387,0.023210
