t,phase,step_idx,mask_ss,Hdot_s_x,Hdot_s_y,Hdot_s_z,tau_w_x,tau_w_y,tau_w_z,e_ori_torso_deg,e_pos_torso_x,e_pos_torso_y,e_pos_torso_z,d_ee_to_target,e_ori_ee_deg,swing_arm,stance_a_idx,stance_b_idx,swing_to_idx,gait_phase_idx
11.740000,SS,1,1,0.236455361,2.461681114,-4.999993775,-0.620648208,-1.148070403,1.088573587,0.681389691,-0.001559014,0.001389786,-0.000230717,0.011600908,0.031582964,a,2,3,3,3
11.840000,SS,1,1,0.271114335,2.486334394,-4.999994084,-0.628131504,-1.159687306,1.124922388,0.696385086,-0.001375600,0.001292156,-0.000181639,0.011231903,0.039066810,a,2,3,3,3
11.940000,SS,1,1,0.295223679,2.497880838,-4.999994282,-0.626137030,-1.169174891,1.175170649,0.705480839,-0.001200033,0.001191228,-0.000132117,0.010973151,0.047043487,a,2,3,3,3
12.040000,SS,1,1,0.315257840,2.489913169,-4.999994484,-0.620426484,-1.170942908,1.222162748,0.708031023,-0.001034360,0.001088674,-0.000081987,0.010707272,0.055279465,a,2,3,3,3
12.140000,SS,1,1,0.325585097,2.468591301,-4.999994641,-0.609459498,-1.169298456,1.276199827,0.703647238,-0.000878758,0.000987412,-0.000031810,0.010384819,0.063598949,a,2,3,3,3
12.240000,SS,1,1,0.322201404,2.437722794,-4.999994720,-0.591223540,-1.167265834,1.346933243,0.692119366,-0.000733966,0.000887850,0.000017611,0.010001300,0.071851470,a,2,3,3,3
12.340000,SS,1,1,0.304836363,2.397566805,-4.999994751,-0.567194766,-1.164736943,1.433702309,0.673221939,-0.000600723,0.000790938,0.000065975,0.009575646,0.079845747,a,2,3,3,3
12.440000,SS,1,1,0.272818757,2.348347552,-4.999994730,-0.541917365,-1.143012519,1.536693112,0.646470708,-0.000479225,0.000696186,0.000113315,0.009133222,0.087262264,a,2,3,3,3
12.540000,SS,1,1,0.205734181,2.290524468,-4.999994617,-0.510308744,-1.121418454,1.635214075,0.612348671,-0.000363507,0.000603552,0.000153319,0.008688608,0.093574204,a,2,3,3,3
12.640000,SS,1,1,0.095595792,2.224786565,-4.999994277,-0.455476610,-1.111357473,1.763796189,0.572859861,-0.000249034,0.000506923,0.000180523,0.008243028,0.098125751,a,2,3,3,3
12.740000,SS,1,1,-0.031482270,2.141605153,-4.999993941,-0.395397002,-1.098443098,1.879939556,0.529207050,-0.000135562,0.000408796,0.000199505,0.007793811,0.100005814,a,2,3,3,3
12.840000,SS,1,1,-0.171513683,2.049690687,-4.999993104,-0.334556748,-1.083114390,1.981202400,0.482830969,-0.000021007,0.000317536,0.000212947,0.007338201,0.098656790,a,2,3,3,3
12.940000,SS,1,1,-0.319262419,1.950404813,-4.999991060,-0.269739217,-1.067228389,2.075474065,0.435531405,0.000093642,0.000231757,0.000221138,0.006874368,0.094024870,a,2,3,3,3
13.040000,SS,1,1,-0.468621830,1.844487336,-4.999983317,-0.203341945,-1.049498182,2.160491054,0.388751288,0.000208169,0.000151503,0.000225140,0.006401864,0.086375602,a,2,3,3,3
13.140000,SS,1,1,-0.607895868,1.724758674,-4.933036479,-0.140943588,-1.023802541,2.216801083,0.343532691,0.000320365,0.000075971,0.000225860,0.005921391,0.076217669,a,2,3,3,3
